NMU,ANO,REM,RAP,RAE,RCO,RCC,RME,RMI,RSE,RSI
Abadia de Goiás,2010,937,820,825,853,1065,0,957,1100,0
Abadia de Goiás,2011,999,980,964,761,1119,0,1058,1117,0
Abadia de Goiás,2012,1166,951,1165,1181,1378,0,1358,1033,0
Abadia de Goiás,2013,1457,1548,1306,1398,1468,0,1388,1557,0
Abadia de Goiás,2014,1738,1725,1299,2264,1511,800,1453,1608,0
Abadia de Goiás,2015,1608,1796,1452,1387,1787,0,1509,1827,0
Abadia de Goiás,2016,1655,1973,1637,1530,1460,0,1606,1469,0
Abadia de Goiás,2017,1839,2236,1654,1565,4755,0,1573,1422,0
Abadia de Goiás,2018,1789,2258,1801,1617,1963,0,1600,1553,1067
Abadia de Goiás,2019,1755,2653,2055,1622,1813,0,1595,889,2071
Abadia de Goiás,2020,2127,4068,2352,1551,1628,0,1664,1621,2856
Abadiânia,2010,769,795,703,710,0,1041,678,817,3739
Abadiânia,2011,905,1043,785,731,809,1167,738,934,4143
Abadiânia,2012,970,1027,885,824,788,1273,861,1055,5552
Abadiânia,2013,1089,1066,971,912,1178,1396,1056,1229,2220
Abadiânia,2014,1237,1274,1069,1020,1612,1484,1230,1304,2011
Abadiânia,2015,1410,1614,1195,1166,1287,1666,1268,1454,2803
Abadiânia,2016,1527,1757,1397,1251,1343,1692,1403,1566,3012
Abadiânia,2017,1659,1981,1516,1340,1613,1847,1344,1658,3319
Abadiânia,2018,1669,1795,1616,1330,1408,2012,1595,1708,2954
Abadiânia,2019,1810,2067,1663,1396,0,2030,1716,1819,3213
Abadiânia,2020,1714,1825,1695,1720,1059,1868,1656,1562,2976
Acreúna,2010,1123,1328,1029,985,1373,0,1182,1027,4095
Acreúna,2011,1242,1377,1206,1048,2057,0,1347,1167,4614
Acreúna,2012,1407,1460,1415,1261,1736,0,1504,1369,6317
Acreúna,2013,1535,1653,1511,1463,859,0,1471,1508,6541
Acreúna,2014,1619,1572,1748,1450,1378,0,1780,1542,7211
Acreúna,2015,1839,1877,1896,1627,1421,0,2405,1695,10277
Acreúna,2016,1932,1724,2156,1823,1166,0,2441,1664,19187
Acreúna,2017,2126,2335,2231,1826,1656,0,2584,1785,0
